WKT,name,group
"POINT (-0.1037939 51.5116896)",Blackfriars,Rail Station,
"POINT (-0.0903167 51.511311)",Cannon Street,Rail Station,
"POINT (-0.1247557 51.5081113)",Charing Cross,Rail Station,
"POINT (-0.1033475 51.5140438)",City Thameslink,Rail Station,
"POINT (-0.1333271 51.5280408)",Euston,Rail Station,
"POINT (-0.07906189999999999 51.5117122)",Fenchurch Street,Rail Station,
"POINT (-0.1235978 51.53160339999999)",King’s Cross,Rail Station,
"POINT (-0.0815777 51.518077)",Liverpool Street,Rail Station,
"POINT (-0.0848024 51.5042625)",London Bridge,Rail Station,
"POINT (-0.163173 51.5224432)",Marylebone,Rail Station,
"POINT (-0.0883927 51.5185071)",Moorgate,Rail Station,
"POINT (-0.08753 51.5256641)",Old Street,Rail Station,
"POINT (-0.1765854 51.51629819999999)",Paddington,Rail Station,
"POINT (-0.1258659 51.5311162)",St Pancras International,Rail Station,
"POINT (-0.1227741 51.486098)",Vauxhall,Rail Station,
"POINT (-0.1438979 51.4952103)",Victoria,Rail Station,
"POINT (-0.1123134 51.5031591)",Waterloo,Rail Station,
"POINT (-0.1086914 51.5041776)",Waterloo East,Rail Station,
